Borta bra men hemma bäst,Away good but home best
Den som gapar över mycket mister ofta hela stycket,He who bites off more than he can chew often loses the whole piece
Man ska inte sälja skinnet innan björnen är skjuten,Don't sell the skin before the bear is shot
Lika barn leka bäst,Birds of a feather flock together
Den som kommer först till kvarn får först mala,First come first served
Morgonstund har guld i mund,The early bird catches the worm
Bättre en fågel i handen än tio i skogen,A bird in the hand is worth two in the bush
Den som sover syndar inte,He who sleeps doesn't sin
Nöden har ingen lag,Necessity knows no law
Tystnad är guld,Silence is golden
Övning ger färdighet,Practice makes perfect
Rena händer i bytta,Clean hands in the bucket (honesty pays)
Den som vill något får något,He who wants something gets something
Kärt barn har många namn,A dear child has many names
Gammal kärlek rostar aldrig,Old love never rusts
Äpplet faller inte långt från trädet,The apple doesn't fall far from the tree
När man talar om trollen,Speak of the devil
Som man bäddar får man ligga,As you make your bed so you must lie in it
Den som lever får se,He who lives shall see
Enighet gör stark,Unity makes strength
Kasta inte sten i glashus,Don't throw stones in glass houses
Den som skrattar sist skrattar bäst,He who laughs last laughs best
Tiden läker alla sår,Time heals all wounds
Bättre sent än aldrig,Better late than never
Hungrig mage har inga öron,A hungry stomach has no ears
Den som inget vågar inget vinner,Nothing ventured nothing gained
Små grytor har också öron,Little pots have ears too
Det är inte guld allt som glimmar,All that glitters is not gold
Man ska inte kasta ut barnet med badvattnet,Don't throw the baby out with the bathwater
Fattigdom är ingen skam,Poverty is no shame
Rätt ska vara rätt,Right should be right
Ju fler kockar desto sämre soppa,Too many cooks spoil the broth
Den som är rädd för vargar får inte gå i skogen,He who is afraid of wolves shouldn't go in the forest
Klockan är bäst som slår,The clock that strikes is best
Som man ropar i skogen får man svar,As you shout in the forest you get an answer
Den som inte hör får känna,He who won't hear must feel
Lagom är bäst,Moderation is best
Man lär så länge man lever,You learn as long as you live
Kärlek gör blind,Love is blind
Den som säger A måste också säga B,He who says A must also say B
Stora kärl klingar mest,Empty vessels make the most noise
När katten är borta dansar råttorna,When the cat's away the mice will play
Sanningen är bitter,Truth is bitter
Det är bättre att förekomma än förekommas,Prevention is better than cure
Den som gräver en grop åt andra,He who digs a pit for others
Sju resor för en lort,Seven journeys for one turd (wasted effort)
Gamla rävar är svåra att fånga,Old foxes are hard to catch
Den som är född till att hängas drunknar aldrig,He who is born to be hanged will never drown
